CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;EI02;DD01;DD03_01;FG01_01;FG01_02;FG01_03;FG01_04;FG01_05;FG01_06;FG01_07;FG01_08;FG01_09;FG01_10;FG01_11;FG02_01;KL01;TIME001;TIME002;TIME003;TIME004;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
131;;130;base;interview;08.12.2021 13:00;1;1;24;3;1;1;1;1;1;1;1;1;4;1;2;1;2;6;52;3;63;;08.12.2021 13:01;1;0;4;4;0;0;1,61;30
132;;739;base;interview;08.12.2021 13:23;1;2;19;4;4;2;2;2;4;2;3;1;4;2;4;1;10;30;249;2;75;;08.12.2021 13:27;1;0;4;4;0;0;0,76;13
133;;678;base;interview;08.12.2021 13:23;1;1;19;3;3;1;2;2;3;1;2;1;3;2;3;1;4;7;157;4;72;;08.12.2021 13:26;1;0;4;4;0;0;0,93;6
134;;718;base;interview;08.12.2021 13:35;1;2;19;3;4;1;2;2;4;1;1;1;4;4;2;1;14;7;66;4;91;;08.12.2021 13:36;1;0;4;4;0;0;0,79;0
135;;752;base;interview;08.12.2021 16:27;1;2;24;4;4;2;1;1;3;2;3;1;3;2;4;1;184;5;41;3;55;;08.12.2021 16:31;1;0;4;4;0;0;0,99;12
136;;720;base;interview;08.12.2021 16:49;1;2;19;3;3;1;2;2;3;1;1;3;3;2;2;1;5;8;79;5;97;;08.12.2021 16:50;1;0;4;4;0;0;0,87;3
137;;768;base;interview;08.12.2021 17:02;1;1;31;1;1;2;2;2;2;1;1;4;2;3;3;1;3;5;54;6;68;;08.12.2021 17:03;1;0;4;4;0;0;1,23;16
138;;682;base;interview;08.12.2021 17:18;1;2;20;4;4;2;2;2;3;2;1;3;3;1;2;1;4;6;63;4;77;;08.12.2021 17:19;1;0;4;4;0;0;1,1;6
139;;703;base;interview;08.12.2021 17:31;1;2;21;4;2;1;1;1;3;1;2;4;4;1;4;1;4;6;43;4;57;;08.12.2021 17:32;1;0;4;4;0;0;1,21;10
140;;686;base;interview;08.12.2021 18:17;1;2;22;4;4;1;1;1;3;1;1;1;4;3;3;1;5;8;52;3;68;;08.12.2021 18:18;1;0;4;4;0;0;1,09;8
141;;774;base;interview;08.12.2021 18:54;1;2;19;3;3;2;2;3;3;1;2;1;3;2;3;1;13;6;69;7;95;;08.12.2021 18:55;1;0;4;4;0;0;0,71;0
142;;417;base;interview;09.12.2021 00:26;1;1;22;2;3;1;1;1;1;1;1;1;3;3;3;1;10;8;51;6;75;;09.12.2021 00:27;1;0;4;4;0;0;0,78;1
143;;698;base;interview;09.12.2021 08:25;1;2;20;3;3;1;2;3;3;1;2;1;3;4;4;1;3;6;41;4;54;;09.12.2021 08:26;1;0;4;4;0;0;1,35;17
144;;729;base;interview;09.12.2021 09:37;1;2;18;4;3;3;1;1;4;2;3;1;4;1;4;1;4;5;53;4;66;;09.12.2021 09:39;1;0;4;4;0;0;1,19;10
145;;649;base;interview;09.12.2021 09:47;1;2;22;4;4;4;1;2;2;1;1;2;4;2;4;1;15;4;58;3;80;;09.12.2021 09:48;1;0;4;4;0;0;1,05;10
146;;696;base;interview;09.12.2021 12:04;1;1;25;2;2;1;1;1;2;1;1;2;4;2;2;1;3;6;62;5;76;;09.12.2021 12:05;1;0;4;4;0;0;1,18;13
147;;369;base;interview;09.12.2021 12:38;1;1;21;3;3;2;2;3;4;2;3;2;3;1;4;1;3;6;57;19;70;;09.12.2021 12:39;1;0;4;4;0;0;1,05;13
148;;381;base;interview;09.12.2021 16:18;1;1;21;4;3;2;2;1;3;1;2;2;3;1;3;1;12;5;73;3;93;;09.12.2021 16:19;1;0;4;4;0;0;0,95;7
149;;163;base;interview;09.12.2021 16:44;1;2;20;3;2;3;2;3;1;2;3;3;3;3;4;1;4;11;21;6;42;;09.12.2021 16:45;1;0;4;4;0;0;1,36;28
150;;695;base;interview;09.12.2021 19:04;1;2;20;4;2;2;1;2;3;1;2;3;4;3;3;1;37;46;66;3;81;;09.12.2021 19:07;1;0;4;4;0;0;0,62;4
151;;644;base;interview;09.12.2021 19:33;1;2;33;2;2;1;1;1;1;1;1;1;3;2;1;1;4;6;84;6;100;;09.12.2021 19:35;1;0;4;4;0;0;0,96;6
152;;673;base;interview;10.12.2021 02:50;1;2;23;2;2;2;1;2;1;1;1;2;2;3;3;1;4;6;81;6;97;;10.12.2021 02:52;1;0;4;4;0;0;0,97;6
153;;465;base;interview;10.12.2021 13:34;1;2;23;3;3;2;1;1;3;1;2;2;3;2;3;1;12;10;85;5;112;;10.12.2021 13:36;1;0;4;4;0;0;0,64;0
154;;112;base;interview;10.12.2021 16:26;1;2;21;4;4;3;1;1;4;2;4;3;4;1;4;1;4;5;46;3;58;;10.12.2021 16:27;1;0;4;4;0;0;1,32;16
155;;691;base;interview;10.12.2021 18:40;1;2;18;4;4;1;1;2;3;1;2;3;4;3;3;1;30;6;54;3;69;;10.12.2021 18:42;1;0;4;4;0;0;0,9;5
156;;483;base;interview;11.12.2021 13:29;1;2;20;2;3;1;2;2;1;1;1;2;3;2;1;1;3;5;54;6;68;;11.12.2021 13:30;1;0;4;4;0;0;1,23;16
157;;761;base;interview;11.12.2021 15:31;1;2;25;2;2;1;2;2;2;1;1;2;3;2;3;1;4;4;75;13;87;;11.12.2021 15:33;1;0;4;4;0;0;1,02;13
158;;362;base;interview;12.12.2021 02:40;1;2;23;4;4;2;1;1;4;3;3;3;4;3;4;1;4;6;77;11;91;;12.12.2021 02:41;1;0;4;4;0;0;0,9;6
159;;184;base;interview;12.12.2021 06:47;1;2;23;3;3;2;2;1;3;1;2;3;3;2;3;1;4;7;53;4;68;;12.12.2021 06:48;1;0;4;4;0;0;1,11;7
160;;410;base;interview;12.12.2021 12:08;1;2;47;3;4;2;2;2;3;2;2;2;3;3;4;1;16;7;64;7;94;;12.12.2021 12:09;1;0;4;4;0;0;0,67;0
161;;734;base;interview;12.12.2021 14:11;1;1;19;4;3;1;1;1;3;1;1;1;4;1;1;1;12;5;103;6;126;;12.12.2021 14:13;1;0;4;4;0;0;0,73;3
164;;;base;interview;12.12.2021 17:54;1;2;18;3;4;2;1;1;3;1;1;1;4;3;2;1;106;17;123;32;73;;12.12.2021 17:58;1;0;4;4;0;0;0,25;0
166;;124;base;interview;12.12.2021 18:07;1;2;19;4;4;2;1;1;3;1;3;1;4;1;4;1;5;4;37;3;49;;12.12.2021 18:08;1;0;4;4;0;0;1,39;20
167;;413;base;interview;12.12.2021 18:52;1;2;26;4;4;2;1;1;4;3;3;2;4;2;3;1;18;7;47;4;76;;12.12.2021 18:54;1;0;4;4;0;0;0,85;3
168;;723;base;interview;13.12.2021 01:26;1;2;20;3;4;1;1;1;1;1;1;3;4;2;1;1;5;5;82;4;96;;13.12.2021 01:27;1;0;4;4;0;0;1,02;5
169;;432;base;interview;13.12.2021 15:20;1;2;36;3;3;1;2;2;3;1;2;2;3;2;4;1;18;5;106;8;137;;13.12.2021 15:22;1;0;4;4;0;0;0,64;3
170;;751;base;interview;13.12.2021 17:01;1;2;19;3;3;1;2;2;3;1;2;2;4;2;3;1;9;8;138;5;79;;13.12.2021 17:04;1;0;4;4;0;0;0,66;0
171;;653;base;interview;13.12.2021 17:51;1;1;21;3;3;2;1;1;3;1;1;3;4;2;2;1;19;8;85;4;116;;13.12.2021 17:53;1;0;4;4;0;0;0,68;0
